food,Caloric Value,Fat,Carbohydrates
seatrout raw,248,8.6,0.0
flounder raw,114,3.1,0.0
spot cooked,79,3.1,0.0
walleye pike cooked,148,1.9,0.0
perch raw,55,0.6,0.0
pumpkin seed sunfish raw,43,0.3,0.0
salt mackerel,415,34.1,0.0
mackerel cooked,231,15.7,0.0
tilapia cooked,111,2.3,0.0
drum raw,236,9.8,0.0
atlantic croaker fried,192,11.0,6.6
pumpkin seed sunfish cooked,42,0.3,0.0
wolffish raw,294,7.3,0.0
bluefin tuna cooked,276,9.4,0.0
scup cooked,68,1.8,0.0
herring cooked,290,16.6,0.0
bluefish raw,186,6.4,0.0
sheepshead cooked,234,3.0,0.0
bass cooked,91,2.9,0.0
pout cooked,279,3.2,0.0
chinook salmon raw,709,41.3,0.0
rockfish raw,172,2.6,0.0
tilefish raw,371,8.9,0.0
scup raw,174,4.5,0.0
sablefish cooked,755,59.3,0.0
tuna salad,383,19.0,19.3
coho salmon cooked,255,11.8,0.0
roe raw,20,0.9,0.2
sea bass raw,125,2.6,0.0
pink salmon cooked,349,12.0,0.0
sockeye salmon cooked,493,17.3,0.0
whitefish raw,265,11.6,0.0
greenland halibut cooked,760,56.4,0.0
northern pike cooked,350,2.7,0.0
salmon raw,824,53.1,0.0
turbot cooked,388,12.0,0.0
surimi,28,0.3,1.9
chinook salmon cooked,711,41.2,0.0
mullet cooked,140,4.5,0.0
chum salmon raw,3,0.1,0.0
butterfish raw,47,2.6,0.0
sea bass cooked,125,2.6,0.0
greenland halibut raw,759,56.5,0.0
halibut raw,371,5.4,0.0
sturgeon cooked,184,7.0,0.0
fish fillet fried,211,11.2,15.4
rainbow trout raw,111,4.9,0.0
pout raw,278,3.2,0.0
rainbow smelt cooked,35,0.9,0.0
monkfish raw,22,0.4,0.0
trout raw,117,5.2,0.0
shark raw,37,1.3,0.0
burbot raw,104,0.9,0.0
dolphinfish cooked,173,1.4,0.0
crayfish cooked,25,0.4,0.0
dolphinfish raw,173,1.4,0.0
perch cooked,54,0.5,0.0
cusk raw,106,0.8,0.0
bluefin tuna raw,41,1.4,0.0
milkfish cooked,54,2.4,0.0
carp raw,277,12.2,0.0
sturgeon raw,30,1.1,0.0
orange roughy raw,22,0.2,0.0
catfish fried,199,11.6,7.0
cuttlefish raw,22,0.2,0.2
bass raw,90,2.9,0.0
flounder cooked,109,3.0,0.0
milkfish raw,42,1.9,0.0
eel raw,375,23.8,0.0
catfish raw,189,9.4,0.0
fish sticks,78,4.5,6.1
coho salmon raw,254,12.2,0.0
monkfish cooked,27,0.6,0.0
yellowtail cooked,546,19.6,0.0
yellowfin tuna cooked,37,0.2,0.0
ling cooked,168,1.2,0.0
eel cooked,67,4.2,0.0
sablefish raw,753,59.1,0.0
salmon nuggets,60,3.3,4.0
yellowtail raw,546,19.6,0.0
butterfish cooked,47,2.6,0.0
caviar,42,2.9,0.6
pollock raw,355,3.8,0.0
catfish cooked,206,10.3,0.0
whiting raw,83,1.2,0.0
pink salmon raw,404,14.0,0.0
yellowfin tuna raw,31,0.1,0.0
mackerel raw,230,15.6,0.0
turbot raw,388,12.0,0.0
cusk cooked,106,0.8,0.0
atlantic croaker raw,82,2.5,0.0
sucker cooked,148,3.7,0.0
spot raw,79,3.1,0.0
drum cooked,236,9.7,0.0
crayfish raw,3,0.048,0.0
tilefish cooked,441,14.1,0.0
bluefish cooked,186,6.4,0.0
grouper cooked,238,2.6,0.0
sheepshead raw,257,5.7,0.0
herring kippered,87,4.9,0.0
grouper raw,238,2.6,0.0
ocean perch cooked,48,0.9,0.0
ling raw,168,1.2,0.0
lingcod cooked,329,4.1,0.0
florida pompano raw,184,10.6,0.0
rockfish cooked,162,2.4,0.0
seatrout cooked,247,8.6,0.0
sockeye salmon raw,562,22.2,0.0
swordfish cooked,182,8.4,0.0
american shad raw,362,25.3,0.0
sardine canned in oil,310,17.1,0.0
anchovy canned in oil,8,0.4,0.0
salmon canned,520,20.3,0.0
sardines in tomato sauce canned,165,9.3,0.5
sockeye salmon canned,563,24.9,0.0
tuna canned,102,2.4,0.0
pink salmon canned,530,20.4,0.0
cod canned,328,2.7,0.0
eastern oyster canned,110,4.0,6.3
chum salmon canned,520,20.3,0.0
tuna canned in oil,331,14.4,0.0
wild pink salmon oceans,320,16.0,0.0
shrimp canned,128,1.7,0.0
alaska king crab raw,144,1.0,0.0
scallops fried,64,3.2,6.4
shrimp cooked,7,0.092,0.013
clams fried,19,1.0,1.0
alaska king crab cooked,130,2.1,0.0
scallops cooked,11,0.058,0.5
squid fried,140,6.0,6.2
oyster raw,41,1.2,2.5
abalone,89,0.6,5.1
queen crab raw,25,0.3,0.0
whelk cooked,78,0.2,4.4
oyster cooked,41,1.2,2.5
eastern oyster cooked,8,0.2,0.7
blue mussels cooked,344,9.0,14.8
octopus raw,23,0.3,0.6
spiny lobster cooked,233,3.2,5.1
blue mussels raw,129,3.4,5.5
queen crab cooked,98,1.3,0.0
dungeness crab cooked,140,1.6,1.2
dungeness crab raw,140,1.6,1.2
shrimp fried,52,3.2,4.8
shrimp raw,4,0.023,0.041
blue crab cooked,71,0.6,0.0
shrimp imitation,29,0.4,2.6
conch baked,165,1.5,2.2
squid raw,26,0.4,0.9
scallop raw,10,0.091,0.5
lobster raw,116,1.1,0.0
scallop imitation,28,0.1,3.0
blue crab raw,18,0.2,0.018
whelk raw,39,0.1,2.2
spiny lobster raw,234,3.2,5.1
clams canned,227,2.5,9.4
lobster cooked,134,1.3,0.0
eastern oyster fried,29,1.8,1.7
clams raw,195,2.2,8.1
octopus cooked,139,1.8,3.7
eastern oyster raw,8,0.2,0.8
oyster fried,61,3.0,6.7
sturgeon smoked,49,1.2,0.0
chinook salmon smoked,159,5.9,0.0
cisco smoked,50,3.4,0.0
haddock smoked,33,0.3,0.0
whitefish smoked,147,1.3,0.0
red salmon sockeye filets smoked,373,12.3,0.0
eggnog,224,10.6,20.4
beer light,96,0.0,5.4
beer budweiser,12,0.0,0.9
weizenbier erdinger,220,18.0,0.0
beer light budweiser,9,0.0,0.4
beer,142,0.0,11.7
root beer,202,0.0,52.3
whiskey sour mix,26,0.072,6.3
whiskey sour,158,0.0,13.9
tequila sunrise,232,0.2,23.8
daiquiri,112,0.036,4.2
pina colada,245,2.7,32.0
whiskey,58,0.0,0.1
rum,49,0.0,0.0
vodka smirnoff,13,0.4,2.0
coffee liqueur,96,0.038,13.8
gin,53,0.0,0.0
dessert wine sweet,165,0.0,14.1
chenin blanc white wine,118,0.0,4.9
gamay red wine,115,0.0,3.5
late harvest white wine,172,0.0,20.6
gewurztraminer white wine,119,0.0,3.8
burgundy red wine,172,0.0,7.4
zinfandel red wine,129,0.0,4.2
muller thurgau white wine,112,0.0,5.2
mouvedre red wine,129,0.0,3.9
table wine,123,0.0,4.0
wine light,73,0.0,1.7
white wine,121,0.0,3.8
petite sirah red wine,125,0.0,3.9
non alcoholic wine,2,0.0,0.3
pinot noir red wine,121,0.0,3.4
pinot gris grigio white wine,122,0.0,3.0
riesling white wine,118,0.0,5.5
barbera red wine,170,0.0,5.6
lemberger red wine,118,0.0,3.6
merlot red wine,122,0.0,3.7
sangiovese red wine,126,0.0,3.9
sauvignon blanc white wine,119,0.0,3.0
syrah red wine,122,0.0,3.8
carignane red wine,370,0.0,12.0
pinot blanc white wine,119,0.0,2.9
semillon white wine,121,0.0,4.6
dessert wine dry,760,0.0,58.4
red wine,125,0.0,3.8
cabernet sauvignon red wine,166,0.0,5.2
muscat white wine,123,0.0,7.8
cooking wine,2,0.0,0.3
chardonnay white wine,168,0.0,4.3
claret red wine,122,0.0,4.4
rice sake,197,0.0,7.4
fume blanc white wine,121,0.0,3.3
cabarnet franc red wine,122,0.0,3.6
chocolate frosting,81,3.6,13.0
white sugar,19,0.0,5.0
egg substitute,115,0.0,4.8
agave syrup,21,0.081,5.3
splenda sweetener,336,0.0,91.2
vanilla extract,12,0.069,0.5
egg yolk dried,27,2.3,0.054
granulated sugar,16,0.0,4.2
baking chocolate,145,15.2,8.7
bakers yeast,18,0.3,3.1
fondant,106,0.009,26.4
brown sugar,16,0.0,4.1
white frosting dry,768,0.0,196.4
maple sugar,42,0.061,10.9
fructose sweetener,15,0.0,4.2
saccharin sweetener,360,0.0,89.1
egg white raw,17,0.063,0.2
turbinado sugar,18,0.0,4.6
vanilla frosting,1931,75.0,313.7
aspartame sweetener,365,0.0,89.1
egg raw,80,5.3,0.4
pineapple topping,860,0.3,225.8
egg white dried,26,0.087,0.3
egg yolk raw,55,4.5,0.6
baking soda,0,0.0,0.0
egg dried,30,2.2,0.047
strawberry topping,53,0.096,13.9
